Date,open,high,low,close,volume
2020-07-15,1.4299,1.4299,1.4299,1.4299,16
2020-07-16,1.4202,1.4202,1.4202,1.4202,16
2020-07-17,1.4151,1.4151,1.4151,1.4151,4
2020-07-20,1.418,1.4193,1.4166,1.4193,100
2020-07-21,1.439,1.4429,1.439,1.4429,30
2020-07-22,1.437,1.4391,1.437,1.4391,10
2020-07-23,1.4248,1.4248,1.4248,1.4248,216
2020-07-24,1.4233,1.431,1.4211,1.431,168
2020-07-27,1.4235,1.4399,1.4235,1.4399,4
2020-07-28,1.4347,1.4347,1.4347,1.4347,103
2020-07-29,1.4453,1.4453,1.4453,1.4453,1
2020-07-30,1.401,1.4213,1.401,1.4151,19
2020-07-31,1.421,1.421,1.421,1.421,15
2020-08-03,1.4409,1.4409,1.4409,1.4409,3
2020-08-04,1.446,1.4581,1.446,1.4581,16
2020-08-05,1.4642,1.4642,1.4639,1.4639,68
2020-08-06,1.4693,1.4693,1.4589,1.4589,7
2020-08-07,1.4412,1.4412,1.4412,1.4412,1
2020-08-10,1.4578,1.4578,1.4578,1.4578,11
2020-08-11,1.4693,1.4693,1.4535,1.4535,42
2020-08-12,1.4721,1.4721,1.4721,1.4721,11
2020-08-13,1.4699,1.4699,1.4594,1.4594,8
2020-08-14,1.464,1.464,1.4628,1.4628,44
2020-08-17,1.4731,1.4731,1.4731,1.4731,13
2020-08-18,1.4778,1.4835,1.4778,1.4835,35
2020-08-19,1.4731,1.4784,1.4731,1.4784,21
2020-08-20,1.4697,1.4697,1.4697,1.4697,32
2020-08-21,1.4549,1.4549,1.4361,1.445,51
2020-08-24,1.467,1.467,1.467,1.467,12
2020-08-25,1.4811,1.4811,1.4782,1.4782,25
2020-08-26,1.4694,1.4694,1.4694,1.4694,7
2020-08-27,1.4498,1.4498,1.4498,1.4498,5
2020-08-28,1.4603,1.4603,1.4603,1.4603,5
2020-08-31,1.4443,1.4443,1.4443,1.4443,9
2020-09-01,1.4484,1.4484,1.4484,1.4484,21
2020-09-02,1.4139,1.4139,1.4139,1.4139,17
2020-09-03,1.4019,1.4065,1.4019,1.4065,153
2020-09-04,1.3903,1.3903,1.3903,1.3903,116
2020-09-08,1.315,1.3273,1.315,1.3273,74
