Date,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5
2022-01-01,[CF | 64.0%],[CO | 10.0%],[HE | 9.0%],[CT | 8.0%],[HO | 4.0%],[CF | 60.0%],[CT | 20.0%],[HE | 9.0%],[CO | 2.0%],[ZC | 2.0%]
2022-02-01,[HO | 50.0%],[CO | 14.0%],[CF | 12.0%],[CP | 10.0%],[CT | 5.0%],[ZW | 29.0%],[HO | 22.0%],[CF | 11.0%],[CP | 10.0%],[CT | 10.0%]
2022-03-01,[CO | 51.0%],[HO | 37.0%],[CT | 6.0%],[CC | 3.0%],[HE | 2.0%],[CT | 52.0%],[HO | 19.0%],[CO | 15.0%],[ZS | 7.0%],[ZC | 2.0%]
2022-04-01,[HO | 38.0%],[CF | 25.0%],[CO | 13.0%],[CC | 8.0%],[CT | 5.0%],[CF | 36.0%],[CT | 32.0%],[ZS | 12.0%],[ZC | 9.0%],[CC | 6.0%]
2022-05-01,[HO | 56.0%],[CT | 19.0%],[NG | 18.0%],[HE | 3.0%],[ZC | 2.0%],[ZC | 34.0%],[CT | 17.0%],[HO | 17.0%],[NG | 11.0%],[SV | 7.0%]
2022-06-01,[CT | 37.0%],[HO | 24.0%],[NG | 19.0%],[ZC | 8.0%],[CO | 5.0%],[CT | 45.0%],[CF | 25.0%],[ZC | 14.0%],[HO | 7.0%],[NG | 4.0%]
2022-07-01,[CT | 42.0%],[CC | 19.0%],[HO | 16.0%],[HE | 7.0%],[CF | 6.0%],[CT | 41.0%],[CC | 29.0%],[NG | 8.0%],[CF | 8.0%],[SV | 7.0%]
2022-08-01,[CO | 38.0%],[HO | 34.0%],[ZW | 9.0%],[CT | 6.0%],[NG | 5.0%],[ZW | 50.0%],[HO | 16.0%],[ZC | 15.0%],[CT | 7.0%],[CO | 4.0%]
2022-09-01,[CT | 63.0%],[HO | 16.0%],[CO | 7.0%],[NG | 5.0%],[CF | 5.0%],[CT | 64.0%],[CF | 27.0%],[HO | 4.0%],[ZC | 2.0%],[CP | 1.0%]
2022-10-01,[CT | 64.0%],[CF | 18.0%],[HO | 11.0%],[CO | 2.0%],[CC | 2.0%],[CT | 76.0%],[CF | 13.0%],[HO | 7.0%],[CC | 2.0%],[CP | 1.0%]
2022-11-01,[CT | 35.0%],[NG | 25.0%],[HO | 24.0%],[CO | 5.0%],[CF | 5.0%],[CT | 52.0%],[HO | 21.0%],[CF | 7.0%],[NG | 5.0%],[ZC | 4.0%]
2022-12-01,[CT | 35.0%],[CF | 17.0%],[SV | 12.0%],[GD | 11.0%],[ZW | 7.0%],[GD | 34.0%],[CT | 26.0%],[ZW | 12.0%],[CF | 9.0%],[ZC | 8.0%]
2023-01-01,[CT | 31.0%],[NG | 15.0%],[CF | 9.0%],[ZC | 9.0%],[CP | 8.0%],[CT | 28.0%],[ZW | 17.0%],[CP | 9.0%],[ZC | 8.0%],[ZS | 8.0%]
2023-02-01,[NG | 57.0%],[CT | 31.0%],[CF | 6.0%],[ZS | 2.0%],[ZC | 2.0%],[CT | 44.0%],[NG | 25.0%],[ZS | 15.0%],[CF | 4.0%],[SU | 3.0%]
2023-03-01,[NG | 39.0%],[CT | 37.0%],[ZS | 7.0%],[CO | 6.0%],[ZC | 4.0%],[CT | 38.0%],[NG | 27.0%],[ZW | 12.0%],[ZS | 11.0%],[ZC | 5.0%]
2023-04-01,[CO | 30.0%],[CT | 16.0%],[HO | 15.0%],[ZC | 12.0%],[ZS | 10.0%],[ZC | 31.0%],[CT | 19.0%],[ZS | 19.0%],[SU | 10.0%],[HO | 6.0%]
2023-05-01,[NG | 65.0%],[CF | 11.0%],[CT | 8.0%],[ZS | 5.0%],[ZC | 3.0%],[NG | 35.0%],[SU | 17.0%],[CF | 12.0%],[CP | 9.0%],[ZS | 8.0%]
2023-06-01,[NG | 33.0%],[CT | 26.0%],[CO | 10.0%],[HO | 8.0%],[CF | 5.0%],[CT | 37.0%],[NG | 16.0%],[SU | 12.0%],[ZC | 9.0%],[CP | 6.0%]
2023-07-01,[CF | 38.0%],[NG | 18.0%],[CT | 13.0%],[ZW | 6.0%],[SU | 6.0%],[ZS | 24.0%],[SU | 15.0%],[ZC | 13.0%],[CF | 13.0%],[CT | 11.0%]
2023-08-01,[ZC | 25.0%],[NG | 19.0%],[CP | 12.0%],[CO | 11.0%],[CF | 7.0%],[ZC | 41.0%],[CP | 17.0%],[SU | 15.0%],[ZS | 6.0%],[CC | 5.0%]
2023-09-01,[CO | 27.0%],[NG | 25.0%],[CT | 16.0%],[ZW | 9.0%],[HO | 7.0%],[ZC | 15.0%],[NG | 13.0%],[CT | 12.0%],[CP | 11.0%],[CC | 10.0%]
2023-10-01,[CF | 48.0%],[NG | 34.0%],[CT | 7.0%],[SU | 3.0%],[CP | 2.0%],[CF | 41.0%],[CT | 13.0%],[SV | 10.0%],[CP | 10.0%],[NG | 8.0%]
2023-11-01,[HE | 30.0%],[GD | 12.0%],[SV | 12.0%],[CO | 11.0%],[CT | 7.0%],[GD | 46.0%],[SU | 14.0%],[SV | 13.0%],[ZC | 13.0%],[HE | 5.0%]
2023-12-01,[HE | 28.0%],[CO | 18.0%],[CC | 15.0%],[NG | 15.0%],[HO | 9.0%],[GD | 21.0%],[HE | 18.0%],[NG | 13.0%],[SU | 9.0%],[ZS | 8.0%]
2024-01-01,[NG | 62.0%],[CF | 28.0%],[HE | 2.0%],[CT | 2.0%],[ZW | 2.0%],[NG | 41.0%],[CF | 27.0%],[CT | 9.0%],[CP | 5.0%],[ZW | 5.0%]
2024-02-01,[CO | 31.0%],[HO | 23.0%],[NG | 22.0%],[SU | 8.0%],[CT | 5.0%],[HO | 35.0%],[SU | 29.0%],[CO | 14.0%],[NG | 9.0%],[CP | 5.0%]
2024-03-01,[CF | 26.0%],[CC | 23.0%],[CT | 19.0%],[NG | 9.0%],[SU | 6.0%],[CC | 22.0%],[CF | 17.0%],[CT | 13.0%],[NG | 11.0%],[HO | 7.0%]
2024-04-01,[NG | 92.0%],[CT | 4.0%],[CC | 2.0%],[ZW | 2.0%],,[NG | 77.0%],[CC | 5.0%],[SU | 4.0%],[ZW | 4.0%],[HE | 3.0%]
2024-05-01,[NG | 40.0%],[HE | 27.0%],[CC | 15.0%],[CO | 6.0%],[ZW | 4.0%],[HE | 34.0%],[CC | 22.0%],[NG | 16.0%],[ZW | 10.0%],[SU | 6.0%]
2024-06-01,[HE | 30.0%],[CC | 30.0%],[CP | 14.0%],[NG | 6.0%],[CF | 5.0%],[CC | 30.0%],[CP | 24.0%],[ZS | 14.0%],[NG | 12.0%],[HE | 10.0%]
2024-07-01,[NG | 55.0%],[CC | 16.0%],[CF | 12.0%],[CO | 4.0%],[SU | 4.0%],[NG | 44.0%],[CC | 19.0%],[ZS | 14.0%],[SU | 4.0%],[CF | 4.0%]
2024-08-01,[NG | 70.0%],[CT | 11.0%],[ZW | 5.0%],[SU | 4.0%],[CP | 2.0%],[NG | 32.0%],[ZW | 26.0%],[ZS | 21.0%],[CT | 4.0%],[CP | 4.0%]
2024-09-01,[CC | 25.0%],[SV | 19.0%],[ZW | 14.0%],[CT | 12.0%],[CF | 12.0%],[CC | 17.0%],[CF | 15.0%],[GD | 14.0%],[CP | 12.0%],[ZW | 10.0%]
2024-10-01,[CC | 29.0%],[CO | 24.0%],[HE | 13.0%],[CF | 12.0%],[HO | 5.0%],[CC | 22.0%],[HE | 20.0%],[GD | 18.0%],[CF | 10.0%],[HO | 9.0%]
2024-11-01,[CC | 42.0%],[HE | 27.0%],[NG | 10.0%],[HO | 7.0%],[CO | 6.0%],[CC | 36.0%],[HE | 29.0%],[NG | 7.0%],[SU | 6.0%],[CP | 6.0%]
2024-12-01,[CF | 39.0%],[HE | 23.0%],[CC | 16.0%],[HO | 10.0%],[CT | 4.0%],[CF | 36.0%],[HE | 24.0%],[CC | 12.0%],[CT | 11.0%],[SU | 9.0%]
