run,direction,strategy,sharpe,sortino,treynor,treynor_raw,information,calmar,cum_ret,mdd,mdd_mag,excess_ret_m,excess_ret_ann
85,short,risk,-0.1628668626206809,-0.21875467307188315,-0.06751380806896932,0.06751380806896932,-0.20007214758272257,-0.11950637134595608,-0.5793448333215809,-0.7675906666418872,0.7675906666418872,-0.0059508571085538624,-0.07141028530264634
86,long,classic,0.04202267896717693,0.06878591703634922,0.011598514859458193,0.011598514859458193,-0.02617819222665866,-0.0677988029291496,-0.324868628975437,-0.6299644487774099,0.6299644487774099,-0.0006735628587985919,-0.008082754305583102
86,long,risk,0.40420036519966257,0.5315052839170179,0.11618251948449071,0.11618251948449071,0.3668294895958911,0.15475749114745377,0.9795977049181979,-0.50937726258839,0.50937726258839,0.008699798838966167,0.104397586067594
86,long,weighted,0.18470551638521027,0.27133974612774936,0.022472723518637088,0.022472723518637088,,0.036666150440840074,0.14530359798339987,-0.4142406253669525,0.4142406253669525,0.0,0.0
86,short,classic,0.6398187697749741,1.826948292804886,0.17281118071595925,-0.17281118071595925,0.5249522149680711,0.35362018903311815,5.9869160666869305,-0.681827003605662,0.681827003605662,0.024504373087200753,0.294052477046409
86,short,risk,-0.4854063487165488,-0.7480474347548836,-0.22369633051576743,0.22369633051576743,-0.4729093929527879,-0.18495294699937617,-0.7725984193997425,-0.8203866480678637,0.8203866480678637,-0.012564324751116043,-0.1507718970133925
87,long,classic,0.36131610883162785,0.6018052496989904,0.09208559985092245,0.09208559985092245,0.33523503551076805,0.12389893332922029,0.8354363460958592,-0.5633977095406767,0.5633977095406767,0.00892569802334797,0.10710837628017564
87,long,risk,0.1264721163787219,0.21912271482333043,0.03747482016344128,0.03747482016344128,0.07390104340259412,-0.03446412604317473,-0.17876156174648583,-0.6280367443270685,0.6280367443270685,0.002205928784772172,0.026471145417266063
87,long,weighted,0.18716383252497282,0.27297887828466555,0.023020671888340925,0.023020671888340925,,0.037322470078506316,0.1492376036514811,-0.41732156099552165,0.41732156099552165,0.0,0.0
87,short,classic,0.11790844393941881,0.1640708556070655,0.03044733515418481,-0.03044733515418481,0.053709389397853524,-0.044737375590703586,-0.29651100661735597,-0.8566532114527852,0.8566532114527852,0.002186179559351591,0.026234154712219092
87,short,risk,0.2482822375732235,0.31589385555655386,0.09094312909372143,-0.09094312909372143,0.13717738704779647,0.050051885244085846,0.2816774979251815,-0.5585825803241693,0.5585825803241693,0.00393645731066683,0.04723748772800196
88,long,classic,0.006887349461583889,0.010031684068068397,0.0018113411480738442,0.0018113411480738442,-0.07549764809193192,-0.07112470445007193,-0.33805438227427864,-0.6299706906117972,0.6299706906117972,-0.0017138150246917077,-0.020565780296300493
88,long,risk,0.047083960950507556,0.06709355753064719,0.010187031778248277,0.010187031778248277,-0.017443976817223747,-0.07954321748947066,-0.3525310334472409,-0.5927653118365116,0.5927653118365116,-0.0004551989845480699,-0.005462387814576839
