date,run_001,run_002,run_003,run_004,run_005,run_006,run_007,run_008,run_009,run_010,run_011,run_012,run_013,run_014,run_015,run_016,run_017,run_018,run_019,run_020,run_021,run_022,run_023,run_024,run_025,run_026,run_027,run_028,run_029,run_030,run_031,run_032,run_033,run_034,run_035,run_036,run_037,run_038,run_039,run_040,run_041,run_042,run_043,run_044,run_045,run_046,run_047,run_048,run_049,run_050,run_051,run_052,run_053,run_054,run_055,run_056,run_057,run_058,run_059,run_060,run_061,run_062,run_063,run_064,run_065,run_066,run_067,run_068,run_069,run_070,run_071,run_072,run_073,run_074,run_075,run_076,run_077,run_078,run_079,run_080,run_081,run_082,run_083,run_084,run_085,run_086,run_087,run_088,run_089,run_090,run_091,run_092,run_093,run_094,run_095,run_096,run_097,run_098,run_099,run_100
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,-0.06314608914644304,-0.06388304020687385,-0.06268673499430222,-0.06435505968153432,-0.06371123228994513,-0.06345882231246036,-0.06358245568036025,-0.06376329172314255,-0.06395172383720993,-0.06448916213031086,-0.06432454179635516,-0.0635203947849251,-0.0637381335152225,-0.06301866359099961,-0.06261545659644407,-0.06326710046411077,-0.06346776515581509,-0.0633127153087698,-0.06380170939126184,-0.06332149257746611,-0.06328535160357152,-0.06301420413629999,-0.06412390715689997,-0.06335194446012915,-0.0635123875288196,-0.06374679646716341,-0.06239501447800255,-0.06328891969111416,-0.062458222434681354,-0.0637618008132993,-0.06333030481078705,-0.06319356528696296,-0.06460496183328668,-0.06426870164823817,-0.06357398464362563,-0.06388470057068929,-0.06326276038167089,-0.06412118877889672,-0.06399376989416217,-0.06361024298444307,-0.0641722234986205,-0.06359368017170997,-0.06389040091444165,-0.0631772991635201,-0.06317364247284252,-0.06373281631612282,-0.06346014328061533,-0.06304317825045913,-0.06251898148134083,-0.06315599949373607,-0.06450493284332737,-0.06428350421999518,-0.06369702871041472,-0.06328305177078986,-0.06437771465916187,-0.06425814506334138,-0.06360282854117438,-0.06309301226326458,-0.06351735365241074,-0.06351353544917582,-0.06360390654095915,-0.06310913755854697,-0.06316932878172365,-0.06310043895181272,-0.06296792768222548,-0.06446709734492562,-0.06408228320678189,-0.06400000678609208,-0.0631798135873074,-0.0632317973503791,-0.06425060097530577,-0.06302174107960123,-0.06337727955897021,-0.06489827246800639,-0.06329261736402125,-0.06363380996066226,-0.06306401145765728,-0.0628089351515555,-0.06309237874845663,-0.0627126910393655,-0.06442517637211698,-0.06362708546969575,-0.06281635127443497,-0.06453042074629634,-0.06392533612942686,-0.06297816020851166,-0.06372675343055945,-0.06381669015701008,-0.064606298107173,-0.06309620712463171,-0.06306508094830476,-0.06329460648409058,-0.06285173497401264,-0.062377457058516605,-0.062278943463711656,-0.06461024999946618,-0.06340268750308664,-0.06303945997387839,-0.06342564439405651,-0.06391470761747853
2016-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,-0.0040515847815756345,-0.004310462498536727,-0.004301056548177695,-0.003993035386122279,-0.004227781053314228,-0.00408129766883325,-0.0036693742193044665,-0.003214790234520981,-0.004181166523751556,-0.004411344498476466,-0.004024197548913255,-0.0034582185799943987,-0.004544777086470608,-0.004766988991514842,-0.004501732517205759,-0.003958668652296882,-0.004149501695403401,-0.0037424747048461215,-0.003474457850481172,-0.00449659670488789,-0.003885104818021734,-0.004542712121313519,-0.003938733305834052,-0.003938808153392759,-0.0038635281691415946,-0.003949559293157434,-0.003571377152905564,-0.003988971078164205,-0.004054087737673573,-0.004484300516339856,-0.003548711392734605,-0.004634964175231349,-0.004641568748679048,-0.004003716811276203,-0.004158236400776727,-0.0033678093284406074,-0.003719103281863867,-0.003705598283054834,-0.0044260112166117915,-0.004678665383627489,-0.003897732945879917,-0.0036287759197096703,-0.0032405083415728564,-0.004200312691382102,-0.004118450908936699,-0.0036232617139329015,-0.003880105426345093,-0.004008170699750235,-0.003990542663053098,-0.003855021358397437,-0.0038183140960457163,-0.00410045890566435,-0.004623623298413593,-0.004740842360483111,-0.0038857871821775802,-0.004000533005082518,-0.0038951802509482603,-0.003910844658850499,-0.004010715306987156,-0.004205831082478517,-0.0035516866911118328,-0.004386237696942352,-0.0035792164776495827,-0.0042403344707587776,-0.004116582667882174,-0.003725199397632939,-0.003901635854698604,-0.003964583321780957,-0.0037500218128921903,-0.004025334819818371,-0.0042788167870305704,-0.0032941354961184555,-0.003979176746697344,-0.004666540203200897,-0.004729835056248022,-0.0038714612033025064,-0.0036368630548636594,-0.0036290019180343913,-0.00441619521147274,-0.003916841590729692,-0.004235669275747811,-0.0034984204865002866,-0.0043188421468772775,-0.0034997966980607753,-0.0038290319346191426,-0.003422347319288921,-0.004676516338260717,-0.004347202608181666,-0.004162943506834882,-0.004425922887310585,-0.004038390393095281,-0.004115504880807919,-0.0040399573824819734,-0.0029448849827471424,-0.0034894148919123458,-0.004649389486059974,-0.003607704176649351,-0.004003040765021226,-0.003373124171601738,-0.003712910151486448
2016-06-01,-0.13767242117751877,-0.13994123025338812,-0.13671584697274985,-0.1401272966123026,-0.13938063373530707,-0.1401089105738531,-0.13716163773808876,-0.13769922933230916,-0.14023094109610224,-0.13613291665841365,-0.1409101378927451,-0.137328291085428,-0.13769730506622613,-0.13971173191588726,-0.13949824362198227,-0.1360770992924637,-0.137219719994489,-0.13988367013588077,-0.14092248591089596,-0.13744888295427737,-0.14009778595988187,-0.1408210538528516,-0.14012554083486184,-0.13750333362850597,-0.14052031627386452,-0.1390316287313509,-0.14035882120011467,-0.1377947362724914,-0.13978283910181433,-0.13718622433620742,-0.13738488474326482,-0.1368517100691694,-0.13985591776643058,-0.13958248937651452,-0.13765295565552538,-0.1404487385590636,-0.13681783265194192,-0.14014828542489755,-0.13961979553117598,-0.1393164238878356,-0.13690152093080854,-0.14088553652664237,-0.13990583597593875,-0.13706760591438838,-0.1370914331157278,-0.13720537456775217,-0.14022423980861676,-0.13989825854750848,-0.13705295845928323,-0.1375288843428928,-0.1376770211684386,-0.1409682804338409,-0.13648656393905179,-0.1399580013657672,-0.1368713419237514,-0.1368561880690461,-0.13981262483127566,-0.14044390567206977,-0.14006303175495605,-0.13801661120142183,-0.13785117810986813,-0.13657089802669042,-0.14021547189126793,-0.13990399034150003,-0.14025934667948325,-0.13729445165378418,-0.137170105836659,-0.13748677938615284,-0.1396762123776737,-0.1398247360746342,-0.13689731031975594,-0.14021148663943706,-0.13763548429271655,-0.1375297422628624,-0.14082446111012326,-0.13756693273773413,-0.1361314986747889,-0.14027570278008472,-0.13747840115962662,-0.14034577582053331,-0.14010406628118877,-0.13977246800738463,-0.1388150993325572,-0.13635299531649736,-0.1369302259400843,-0.13685208635620638,-0.1375846215814036,-0.137568868721911,-0.13675193579043265,-0.14004461522634726,-0.1369049706899741,-0.13708799143606132,-0.14022747896741516,-0.13811741711504244,-0.13764665495351258,-0.14025217746376306,-0.14079545043379182,-0.13687815422119098,-0.14069371969438538,-0.13716717557142166
2016-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,-0.007577102285708737,-0.006768121734977983,-0.007392081808986983,-0.007599194484330107,-0.007634594173112297,-0.006920426283340664,-0.009324944142330316,-0.006824188598565706,-0.007145954158927936,-0.007784116308750422,-0.008313485067152793,-0.0073788072997788,-0.008251268610728224,-0.008121010360430003,-0.006329488719872711,-0.008719257827093152,-0.008646170778441986,-0.006996546717464969,-0.007040213703571552,-0.007617652030102451,-0.007100103079237252,-0.007564779919539855,-0.00814790090167583,-0.008998993653996923,-0.005971922556628928,-0.008132095656447236,-0.007237973881004001,-0.0075733562323391235,-0.006343512477262059,-0.006871768029070191,-0.007131734060445427,-0.0066020487214562,-0.0074705598625295355,-0.006782918299979346,-0.006836973652423972,-0.00805525812118868,-0.006989442089138098,-0.0069780237890181285,-0.007233982233519121,-0.006909232675111565,-0.00815967619934388,-0.007101119529094757,-0.00684081607975795,-0.006763140079451779,-0.007815295934520461,-0.007371233633107432,-0.007116912030192268,-0.008016338940778134,-0.00661284982836674,-0.007545893563417172,-0.007721315896368708,-0.007688757514609734,-0.006980917530084452,-0.007425835939600445,-0.008196275210472836,-0.006651493578807233,-0.006830856668347152,-0.0067148625224833225,-0.006804796664039214,-0.008840777584007142,-0.007682698086779016,-0.006813911798722039,-0.007539292179416179,-0.007892770060948129,-0.008995185897965774,-0.0069542665490031075,-0.008535428471360018,-0.006453236589717193,-0.006609431677629729,-0.008029870558937668,-0.007560005887607191,-0.0069388705305586384,-0.007477618487936821,-0.007486515369122593,-0.007334291714489183,-0.00714692915425863,-0.006861225973481044,-0.007571601522618487,-0.007833062016239567,-0.008390200327765718,-0.007814864392872045,-0.008052259020026042,-0.007411359253265082,-0.007857604675249874,-0.0066454775487296835,-0.007167042295926129,-0.0067934630685941855,-0.007039673040958427,-0.006387489039494487,-0.007602979550418998,-0.006750665790380972,-0.007659576559992831,-0.006257915482906995,-0.008475150274179888,-0.008467749096772503,-0.006471129534029951,-0.006568171125817868,-0.007611259747352883,-0.006745362165756941,-0.008800818392689091
2016-09-01,-0.013755844920254612,-0.013926780846902798,-0.013895318333708051,-0.014198488500704598,-0.013462764069906208,-0.013751165356805428,-0.014037772261225046,-0.014057759869943398,-0.014384503928169257,-0.014008019064008836,-0.014730579457114756,-0.014136019642220554,-0.014747057648562545,-0.014534630745714705,-0.013972563477269606,-0.014347366165936348,-0.013780014698693499,-0.013864834051697472,-0.014125934809371299,-0.014183474321018519,-0.014434449257386128,-0.014082305580724208,-0.013595282452525947,-0.014165786783579937,-0.013758535072798006,-0.013905418447481943,-0.014307476744015113,-0.013974818499914665,-0.013564324519851678,-0.014316984134450705,-0.013826976205038477,-0.014935028706557052,-0.014249958288432119,-0.01403399457516008,-0.014038220959504466,-0.014352479065257273,-0.01450313224241262,-0.014003903368117965,-0.013823169993798179,-0.014043622162018154,-0.014508210433978097,-0.014183879993302506,-0.013392907481231675,-0.01389421260138679,-0.01460499238263413,-0.013633480427384215,-0.013651616907904951,-0.014534610188717267,-0.013665289092349098,-0.014230674650448583,-0.014362918826020366,-0.014197668556294674,-0.01367633037854088,-0.013757046829011466,-0.01454202238056379,-0.0140873028489501,-0.014141639939174944,-0.01398513409601676,-0.013737614494071071,-0.013733624499694397,-0.013831109982712197,-0.01411415281651196,-0.014488645648273568,-0.014271055080862571,-0.0143921410455905,-0.013805265055428673,-0.013894471343735226,-0.014337084365720898,-0.013513290165934055,-0.01482199934809958,-0.013998852501901249,-0.014218853606886683,-0.013918764971255992,-0.013942117275032806,-0.013834976745652816,-0.014442434730533527,-0.015050362181714294,-0.014111377637591405,-0.01417747524799462,-0.014426031210417856,-0.014152798755481144,-0.01458934675736867,-0.014150659840744706,-0.014642723891062803,-0.013968524133141202,-0.013543195197136537,-0.013524879802341405,-0.013922709505795772,-0.014524729246296442,-0.013848250041716303,-0.01428469612103811,-0.014313394385187861,-0.01407111445996001,-0.013990716652560353,-0.013554439900409498,-0.013846547326834768,-0.013952452437600349,-0.013925505802463656,-0.013838383338386051,-0.013667515644634087
2016-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
