Date,open,high,low,close,volume
2023-04-17,4.0705,4.0705,4.0465,4.0465,5
2023-04-18,4.0755,4.0755,4.0755,4.0755,0
2023-04-19,4.0625,4.0625,4.0625,4.0625,0
2023-04-20,4.0195,4.0195,4.0195,4.0195,0
2023-04-21,3.983,3.983,3.983,3.983,0
2023-04-24,3.9665,3.9665,3.9665,3.9665,0
2023-04-25,3.866,3.866,3.866,3.866,0
2023-04-26,3.8595,3.8595,3.8595,3.8595,0
2023-04-27,3.879,3.879,3.879,3.879,0
2023-04-28,3.8955,3.8955,3.8955,3.8955,0
2023-05-01,3.9415,3.9415,3.9415,3.9415,0
2023-05-02,3.876,3.876,3.876,3.876,0
2023-05-03,3.861,3.861,3.861,3.861,0
2023-05-04,3.8875,3.8875,3.8875,3.8875,0
2023-05-05,3.906,3.906,3.906,3.906,0
2023-05-08,3.9575,3.9575,3.9575,3.9575,0
2023-05-09,3.9345,3.9345,3.9345,3.9345,0
2023-05-10,3.8845,3.8845,3.8845,3.8845,0
2023-05-11,3.7505,3.7505,3.7505,3.7505,0
2023-05-12,3.7655,3.7655,3.7655,3.7655,0
2023-05-15,3.791,3.791,3.791,3.791,0
2023-05-16,3.7165,3.7165,3.7165,3.7165,0
2023-05-17,3.802,3.802,3.802,3.802,0
2023-05-18,3.7525,3.7525,3.7525,3.7525,0
2023-05-19,3.789,3.789,3.789,3.789,0
2023-05-22,3.754,3.754,3.754,3.754,0
2023-05-23,3.727,3.727,3.727,3.727,0
2023-05-24,3.6435,3.6435,3.6435,3.6435,0
2023-05-25,3.6645,3.6645,3.6645,3.6645,0
2023-05-26,3.7475,3.7475,3.7475,3.7475,0
2023-05-30,3.7375,3.7375,3.7375,3.7375,0
2023-05-31,3.7145,3.7145,3.7145,3.7145,0
2023-06-01,3.81,3.81,3.78,3.78,3
2023-06-02,3.7935,3.7935,3.7935,3.7935,1
2023-06-05,3.823,3.823,3.823,3.823,0
2023-06-06,3.813,3.813,3.813,3.813,0
2023-06-07,3.7795,3.7795,3.7795,3.7795,0
2023-06-08,3.823,3.823,3.823,3.823,0
2023-06-09,3.8265,3.8265,3.8265,3.8265,0
2023-06-12,3.8,3.8,3.8,3.8,0
2023-06-13,3.8555,3.8555,3.8555,3.8555,0
2023-06-14,3.8785,3.8785,3.8785,3.8785,1
2023-06-15,3.868,3.9045,3.868,3.9045,4
2023-06-16,3.9145,3.9145,3.9145,3.9145,0
2023-06-20,3.8905,3.8905,3.8905,3.8905,0
2023-06-21,3.9015,3.9015,3.9015,3.9015,0
2023-06-22,3.9065,3.9065,3.9065,3.9065,0
2023-06-23,3.8315,3.8315,3.8315,3.8315,0
2023-06-26,3.82,3.82,3.82,3.82,0
2023-06-27,3.798,3.798,3.798,3.798,0
2023-06-28,3.7635,3.7635,3.746,3.7635,0
2023-06-29,3.7095,3.7215,3.7095,3.7185,2
2023-06-30,3.785,3.785,3.785,3.785,0
2023-07-03,3.8165,3.8165,3.8165,3.8165,0
2023-07-05,3.8015,3.8015,3.8015,3.8015,0
2023-07-06,3.791,3.791,3.791,3.791,0
2023-07-07,3.8325,3.8325,3.8325,3.8325,0
2023-07-10,3.84,3.84,3.8245,3.84,0
2023-07-11,3.8265,3.842,3.8265,3.8265,2
2023-07-12,3.902,3.902,3.902,3.902,5
2023-07-13,3.9765,3.977,3.9765,3.977,2
2023-07-14,3.974,3.974,3.972,3.974,0
2023-07-17,3.891,3.891,3.891,3.891,0
2023-07-18,3.88,3.88,3.88,3.88,0
2023-07-19,3.8595,3.8595,3.8595,3.8595,0
2023-07-20,3.8875,3.8975,3.8875,3.8875,0
2023-07-21,3.881,3.892,3.881,3.881,0
2023-07-24,3.9165,3.9165,3.8785,3.9165,0
2023-07-25,3.969,3.969,3.969,3.969,0
2023-07-26,3.955,3.955,3.955,3.955,0
2023-07-27,3.9375,3.9625,3.9335,3.9375,0
2023-07-28,3.9835,3.9835,3.9835,3.9835,0
2023-07-31,4.052,4.052,4.052,4.052,0
2023-08-01,3.9685,3.9685,3.9685,3.9685,0
2023-08-02,3.9155,3.9155,3.9155,3.9155,0
2023-08-03,3.978,3.978,3.978,3.978,0
2023-08-04,3.949,3.949,3.9475,3.949,0
