Date,open,high,low,close,volume
2001-10-15,3.25,3.25,3.224,3.224,1
2001-10-16,3.352,3.352,3.352,3.352,25
2001-10-17,3.292,3.292,3.292,3.292,1
2001-10-18,3.3,3.4,3.3,3.391,86
2001-10-19,3.494,3.494,3.494,3.494,1
2001-10-22,3.545,3.545,3.545,3.545,0
2001-10-23,3.472,3.547,3.472,3.472,80
2001-10-24,3.603,3.603,3.455,3.603,7
2001-10-25,3.517,3.64,3.517,3.517,76
2001-10-26,3.527,3.585,3.527,3.527,13
2001-10-29,3.643,3.643,3.643,3.643,0
2001-10-30,3.625,3.625,3.625,3.625,7
2001-10-31,3.693,3.693,3.693,3.693,0
2001-11-01,3.701,3.701,3.701,3.701,0
2001-11-02,3.678,3.678,3.678,3.678,0
2001-11-05,3.517,3.56,3.517,3.517,3
2001-11-06,3.553,3.553,3.52,3.553,1
2001-11-07,3.545,3.545,3.545,3.545,50
2001-11-08,3.626,3.626,3.626,3.626,9
2001-11-09,3.677,3.677,3.677,3.677,16
2001-11-12,3.55,3.554,3.55,3.55,90
2001-11-13,3.582,3.582,3.582,3.582,0
2001-11-14,3.516,3.516,3.516,3.516,19
2001-11-15,3.45,3.45,3.422,3.422,90
2001-11-16,3.48,3.48,3.457,3.457,4
2001-11-19,3.522,3.522,3.522,3.522,0
2001-11-20,3.53,3.53,3.5,3.5,256
2001-11-21,3.3,3.361,3.3,3.361,12
2001-11-26,3.28,3.281,3.28,3.281,8
2001-11-27,3.321,3.321,3.321,3.321,0
2001-11-28,3.341,3.341,3.248,3.248,2
2001-11-29,3.28,3.28,3.195,3.195,217
2001-11-30,3.229,3.229,3.229,3.229,1417
2001-12-03,3.229,3.229,3.179,3.196,259
2001-12-04,3.155,3.2,3.155,3.163,254
2001-12-05,3.12,3.12,3.079,3.079,210
2001-12-06,3.13,3.13,3.1,3.1,395
2001-12-07,3.05,3.163,3.05,3.163,4
2001-12-10,3.26,3.26,3.26,3.26,180
2001-12-11,3.266,3.266,3.266,3.266,6
2001-12-12,3.21,3.22,3.21,3.22,9
2001-12-13,3.23,3.23,3.214,3.214,33
2001-12-14,3.241,3.241,3.241,3.241,9
2001-12-17,3.22,3.22,3.17,3.17,2
2001-12-18,3.19,3.19,3.157,3.157,3
2001-12-19,3.19,3.19,3.118,3.118,29
2001-12-20,3.164,3.164,3.164,3.164,0
2001-12-21,3.22,3.271,3.21,3.271,11
2001-12-26,3.313,3.313,3.313,3.313,0
2001-12-27,3.22,3.22,3.17,3.17,2
2001-12-28,3.222,3.222,3.222,3.222,0
2001-12-31,3.17,3.17,3.138,3.138,41
2002-01-02,3.06,3.06,3.06,3.06,0
2002-01-03,3.06,3.06,3.002,3.002,550
2002-01-04,3.05,3.05,3.045,3.045,13
2002-01-07,3.075,3.075,3.043,3.043,20
2002-01-08,3.068,3.068,3.068,3.068,233
2002-01-09,3.018,3.023,3.01,3.023,123
2002-01-10,3.023,3.04,2.96,2.96,85
2002-01-11,2.98,2.98,2.93,2.93,242
2002-01-14,2.94,2.955,2.93,2.942,114
2002-01-15,2.94,2.94,2.915,2.915,2
2002-01-16,2.944,2.944,2.944,2.944,311
2002-01-17,2.935,2.935,2.922,2.922,129
2002-01-18,2.922,2.95,2.922,2.947,11
2002-01-22,2.936,2.936,2.936,2.936,206
2002-01-23,2.967,2.967,2.967,2.967,224
2002-01-24,3.03,3.03,2.981,2.981,8
2002-01-25,2.975,2.98,2.975,2.98,15
2002-01-28,2.96,2.96,2.915,2.915,252
2002-01-29,2.974,2.974,2.974,2.974,36
2002-01-30,2.975,2.975,2.945,2.945,3
2002-01-31,2.94,2.94,2.903,2.903,132
2002-02-01,2.903,2.925,2.89,2.89,203
2002-02-04,2.9,2.9,2.89,2.89,97
2002-02-05,2.89,2.904,2.89,2.904,11
2002-02-06,2.885,2.9,2.885,2.887,39
2002-02-07,2.895,2.918,2.88,2.918,56
2002-02-08,2.95,2.95,2.937,2.937,23
2002-02-11,2.98,2.987,2.98,2.987,422
2002-02-12,3.025,3.025,3.025,3.025,9
2002-02-13,3.04,3.04,3.0,3.0,168
2002-02-14,3.0,3.0,2.968,2.968,25
2002-02-15,2.993,2.993,2.993,2.993,1
2002-02-19,3.035,3.145,3.035,3.091,35
2002-02-20,3.13,3.13,3.11,3.11,80
2002-02-21,3.148,3.148,3.148,3.148,50
2002-02-22,3.145,3.188,3.145,3.188,351
2002-02-25,3.17,3.17,3.116,3.116,15
2002-02-26,3.144,3.144,3.144,3.144,156
2002-02-27,3.18,3.208,3.165,3.208,3274
2002-02-28,3.23,3.25,3.189,3.189,983
2002-03-01,3.2,3.24,3.2,3.201,771
2002-03-04,3.19,3.29,3.19,3.231,137
2002-03-05,3.2,3.22,3.2,3.2,1940
2002-03-06,3.215,3.233,3.215,3.233,266
2002-03-07,3.353,3.353,3.353,3.353,655
2002-03-08,3.38,3.427,3.38,3.427,21
2002-03-11,3.5,3.545,3.46,3.545,108
