run,direction,strategy,sharpe,sortino,treynor,treynor_raw,information,calmar,cum_ret,mdd,mdd_mag,excess_ret_m,excess_ret_ann
33,long,classic,-0.07444360875009981,-0.1200638484080213,-0.02025157142745581,-0.02025157142745581,-0.1578911296214138,-0.10630444210492103,-0.5244903378734541,-0.7457578568113306,0.7457578568113306,-0.0040228946101719615,-0.04827473532206354
33,long,risk,0.21124731108350706,0.3624797064780835,0.060686673540239454,0.060686673540239454,0.15845209939868288,0.022417051626734553,0.15546399393661647,-0.7220112389576522,0.7220112389576522,0.004060635689210689,0.048727628270528275
33,long,weighted,0.18697496739777106,0.2676143385237235,0.022911750365966235,0.022911750365966235,,0.037864829030299606,0.14852589185331766,-0.4094979651838263,0.4094979651838263,0.0,0.0
33,short,classic,0.39488998325605335,0.7042742894794748,0.11513039912123721,-0.11513039912123721,0.28851955657151407,0.17240281298291185,1.0924463811261864,-0.49590885065031853,0.49590885065031853,0.011000275739424399,0.13200330887309278
33,short,risk,0.1143107036549586,0.25058586905808267,0.029161748439567245,-0.029161748439567245,0.054605712656909305,-0.03637070217851571,-0.2410486666801659,-0.8298317169879782,0.8298317169879782,0.0023572568624258025,0.028287082349109628
34,long,classic,0.1160945483964322,0.20659958013444368,0.03659153899272752,0.03659153899272752,0.05522730852287847,-0.02279089758172999,-0.1348999374234563,-0.7008145220506993,0.7008145220506993,0.0014479252328645066,0.01737510279437408
34,long,risk,0.3729001472873672,0.6701768784428572,0.10740286075853744,0.10740286075853744,0.3382718538060182,0.10463107435033399,0.9013911037970546,-0.7073333382252285,0.7073333382252285,0.008618495207271506,0.10342194248725807
34,long,weighted,0.18166127702353616,0.2619388725142215,0.02224172361151758,0.02224172361151758,,0.035985733217686916,0.1418198430478379,-0.4125255967528344,0.4125255967528344,0.0,0.0
34,short,classic,0.38198311775267346,0.6983855457439572,0.11981969360197327,-0.11981969360197327,0.2774265017707608,0.14634903158332857,1.0183488517620125,-0.5545391483550957,0.5545391483550957,0.010192056941249594,0.12230468329499512
34,short,risk,-0.04718385964560046,-0.09844971142332105,-0.01189797475204563,0.01189797475204563,-0.08588608515035223,-0.10876402018378892,-0.5724111729891895,-0.8282205218978214,0.8282205218978214,-0.0034906803551772786,-0.04188816426212734
35,long,classic,0.04972629042999073,0.08486031661308624,0.01612253816895011,0.01612253816895011,-0.012398455187387124,-0.04866023732144179,-0.29081690224255585,-0.7698818862330625,0.7698818862330625,-0.0003197577431048665,-0.003837092917258398
35,long,risk,0.13909747195416916,0.24017173886936186,0.031767087616415224,0.031767087616415224,0.09048725034092779,-0.0121369519022654,-0.0723666540446064,-0.6848333586464758,0.6848333586464758,0.002179648606105083,0.026155783273260996
35,long,weighted,0.16787838009943037,0.23903489355417057,0.020440659749360088,0.020440659749360088,,0.031428971220429223,0.12420798579900327,-0.4166135322965133,0.4166135322965133,0.0,0.0
35,short,classic,0.45431092373606097,0.7507786716979351,0.15133656598420658,-0.15133656598420658,0.33887305141395696,0.1743327223918514,1.4522129833274926,-0.6011577609850343,0.6011577609850343,0.011702403833121974,0.1404288459974637
35,short,risk,0.17411386245018695,0.44043398707194586,0.04490856774183139,-0.04490856774183139,0.11643830190468366,-0.006231342047404355,-0.04270175031199985,-0.7762667380059658,0.7762667380059658,0.005427102202269625,0.0651252264272355
36,long,classic,-0.000300723404953748,-0.0004979805657045508,-9.151916671537537e-05,-9.151916671537537e-05,-0.07222915478707637,-0.07966800852928844,-0.38381647410916153,-0.6574720153030933,0.6574720153030933,-0.001824909730799824,-0.02189891676959789
36,long,risk,0.09314979179864295,0.1452121527193905,0.027074505761818413,0.027074505761818413,0.024530578807901066,-0.02629902031930806,-0.15473884089976297,-0.7036566221595993,0.7036566221595993,0.0005718717739887615,0.006862461287865138
36,long,weighted,0.17983497692220593,0.2624807932759791,0.02179957386702305,0.02179957386702305,,0.03545233330899988,0.13889713918356805,-0.4105815849424316,0.4105815849424316,0.0,0.0
36,short,classic,0.664840713748348,1.1632714023526278,0.2242587284675123,-0.2242587284675123,0.536411441160035,0.3790494236243401,4.674123777606634,-0.5612374651261445,0.5612374651261445,0.020884946976730132,0.2506193637207616
36,short,risk,-0.12252713926403717,-0.18199161900908978,-0.055542212700679536,0.055542212700679536,-0.16394888865066243,-0.10926096458546977,-0.5665541060592462,-0.8118550507130733,0.8118550507130733,-0.0051268438315966395,-0.061522125979159674
37,long,classic,0.0392963712757762,0.07172654821540742,0.010311306554506879,0.010311306554506879,-0.029485576904920072,-0.055599946796272816,-0.3205440275259196,-0.7559618020988754,0.7559618020988754,-0.0007527348425232166,-0.009032818110278599
37,long,risk,0.07312116180503815,0.1278634071802362,0.016295090626030656,0.016295090626030656,0.010670867007152394,-0.04460725797630774,-0.2619381341350503,-0.7439242084186819,0.7439242084186819,0.00026931833572240447,0.0032318200286688536
37,long,weighted,0.18383874448263043,0.2667352621429519,0.02254418102416512,0.02254418102416512,,0.03616094918872934,0.14473368029946188,-0.41847536972193955,0.41847536972193955,0.0,0.0
37,short,classic,0.5432053660148272,0.97963050265265,0.17215257405197146,-0.17215257405197146,0.41959339562829134,0.2456955253684967,2.5221136735148857,-0.6111378275700944,0.6111378275700944,0.015867671156547677,0.19041205387857213
37,short,risk,0.16551286053601036,0.3434271340417257,0.041791153963314884,-0.041791153963314884,0.09870022603524597,-0.00902129369706099,-0.061484810439167537,-0.778812390107942,0.778812390107942,0.0042195931408254015,0.05063511768990482
38,long,classic,-0.08560469306486396,-0.14175679773984098,-0.027586100393811472,-0.027586100393811472,-0.16532112245584324,-0.10896031032798918,-0.5385134952836568,-0.7556389012515479,0.7556389012515479,-0.004327919733709111,-0.05193503680450934
38,long,risk,0.07724093163793998,0.12997632478782806,0.01767568483569499,0.01767568483569499,0.01233954278530296,-0.0412781224222901,-0.24031076934286644,-0.7286387414279327,0.7286387414279327,0.0003038009900971166,0.0036456118811653993
38,long,weighted,0.1854417213964242,0.267270210124239,0.022839870587259142,0.022839870587259142,,0.036916507636197575,0.1470257725431663,-0.4160228164644282,0.4160228164644282,0.0,0.0
38,short,classic,0.7161776806902095,1.4048019035328847,0.22333761164624472,-0.22333761164624472,0.5820982719320817,0.6288363246017487,6.66286574608508,-0.4037744651636187,0.4037744651636187,0.024231293489234543,0.2907755218708145
